"薬品マスタ","2026/03/04"
"PK","","TZMYAKUHINMEISHO","TZMYAKUHIN","TZMYAKUHINBETSUKIHONJOHOKUBUN","","TZMYAKUKA","TZMYAKUHINMEISHO","TZMYAKUHIN","","TZMYAKUHINBETSUKIHONJOHOKUBUN",""
"YAKUHIN_CODE","","YAKUHIN_NM","HOST_CODE","SAIYO_DIV","","YAKKA","YAKUHIN_NM_KANA","ZAIKEI_CODE","","DOKUGEKIYAKU_DIV",""
"コード(区分値)","コード","名称","ホストコード","採用区分（区分値）(区分値)","採用区分（区分値）","薬価","カナ名称","剤形(区分値)","剤形","毒劇薬（区分値）(区分値)","毒劇薬（区分値）"
"ｱﾄﾅ001","ｱﾄﾅ001","アドナ錠３０ｍｇ","ｱﾄﾞﾅ","1","","7.70000","ｱﾄﾞﾅｼﾞｮｳ30mg","001","錠剤","0",""
"ｱﾄﾅ002","ｱﾄﾅ002","アドナ注（静脈用）５０ｍｇ","ｱﾄﾞﾅ1","1","","89.00000","ｱﾄﾞﾅﾁｭｳ(ｼﾞｮｳﾐｬｸﾖｳ)50mg","025","注射剤","0",""
"ｱﾄﾅ003","ｱﾄﾅ003","アドナ散１０％","ｱﾄﾞﾅ2*","1","","32.50000","ｱﾄﾞﾅｻﾝ10%","003","散","0",""
"ｱﾄﾌ001","ｱﾄﾌ001","アドフィードパップ４０ｍｇ","","1","","17.60000","ｱﾄﾞﾌｲ-ﾄﾞﾊﾟﾂﾌﾟ40MG","019","貼付剤","0",""
"ｱﾄﾓ001","ｱﾄﾓ001","アトモキセチンカプセル１０ｍｇ「サワイ」","ｱﾄ10","1","","50.30000","ｱﾄﾓｷｾﾁﾝｶﾌﾟｾﾙ10mg｢ｻﾜｲ｣","002","カプセル","2",""
"ｱﾄﾓ002","ｱﾄﾓ002","アトモキセチンカプセル１０ｍｇ「アメル」","ｱﾄﾓ10","0","","50.30000","ｱﾄﾓｷｾﾁﾝｶﾌﾟｾﾙ10mg｢ｱﾒﾙ｣","002","カプセル","2",""
"ｱﾄﾓ003","ｱﾄﾓ003","アトモキセチンカプセル４０ｍｇ「サワイ」","ｱﾄ40","0","","64.70000","ｱﾄﾓｷｾﾁﾝｶﾌﾟｾﾙ40mg｢ｻﾜｲ｣","002","カプセル","2",""
"ｱﾄﾓ004","ｱﾄﾓ004","アトモキセチンカプセル４０ｍｇ「アメル」","ｱﾄﾓ40","0","","64.70000","ｱﾄﾓｷｾﾁﾝｶﾌﾟｾﾙ40mg｢ｱﾒﾙ｣","002","カプセル","2",""
"ｱﾄﾓ005","ｱﾄﾓ005","アトモキセチンカプセル４０ｍｇ「ＶＴＲＳ」","","1","","64.70000","ｱﾄﾓｷｾﾁﾝｶﾌﾟｾﾙ40MGVTRS","002","カプセル","2",""
"ｱﾄﾙ001","ｱﾄﾙ001","アトルバスタチン錠１０ｍｇ「Ｍｅ」","ｱﾄﾙ1","0","","13.90000","ｱﾄﾙﾊﾞｽﾀﾁﾝｼﾞｮｳ10mg｢Me｣","001","錠剤","0",""
"ｱﾄﾙ002","ｱﾄﾙ002","アトルバスタチンＯＤ錠１０ｍｇ「トーワ」","","1","","13.90000","ｱﾄﾙﾊﾞｽﾀﾁﾝODｼﾞﾖｳ10MGﾄ-ﾜ","001","錠剤","0",""
"ｱﾄﾛ001","ｱﾄﾛ001","アトロピン硫酸塩注０．５ｍｇ「ニプロ」","ｱﾄﾛ","1","","100.00000","ｱﾄﾛﾋﾟﾝﾘﾕｳｻﾝｴﾝﾁﾕｳ0.5MGﾆﾌﾟﾛ","025","注射剤","2",""
